iter	RMSE
0	14.96726758
1	14.30274004
2	13.68830857
3	13.1408735
4	12.6551472
5	12.22847442
6	11.8565605
7	11.5321188
8	11.2442134
9	10.97280877
10	10.72868342
11	10.5241131
12	10.336286
13	10.17183435
14	10.02476211
15	9.882125837
16	9.761273538
17	9.643717434
18	9.531740271
19	9.443668981
20	9.34868413
21	9.267056328
22	9.193594532
23	9.126833301
24	9.058706529
25	8.995543582
26	8.943150224
27	8.893953101
28	8.848273185
29	8.800263065
30	8.750956106
31	8.709127059
32	8.676998394
33	8.640460083
34	8.608448738
35	8.581564113
36	8.545543065
37	8.515651978
38	8.486422065
39	8.464816409
40	8.444215084
41	8.42572371
42	8.403163536
43	8.382315426
44	8.364128858
45	8.343668421
46	8.320826553
47	8.305656793
48	8.291191911
49	8.276749098
50	8.264788721
51	8.245246046
52	8.227072279
53	8.208061935
54	8.194847043
55	8.180025711
56	8.168105376
57	8.151618736
58	8.139523881
59	8.128546129
60	8.113580027
61	8.10640781
62	8.096164311
63	8.086011179
64	8.076971965
65	8.066349944
66	8.052075857
67	8.035370257
68	8.014623016
69	8.00398694
70	7.994032814
71	7.984191902
72	7.973650119
73	7.964075224
74	7.954489263
75	7.9340037
76	7.924061371
77	7.91717533
78	7.907870748
79	7.892417804
80	7.884586778
81	7.876008452
82	7.857860592
83	7.849212469
84	7.833112281
85	7.824514567
86	7.816171799
87	7.807702362
88	7.797694161
89	7.790014376
90	7.783725479
91	7.776618843
92	7.77135456
93	7.762161139
94	7.753978046
95	7.744555676
96	7.737530052
97	7.730584321
98	7.722685672
99	7.715937741
100	7.710391383
101	7.703010538
102	7.694918875
103	7.686669644
104	7.681980016
105	7.677604365
106	7.670170816
107	7.663102406
108	7.651925672
109	7.645868469
110	7.637111466
111	7.629884501
112	7.626683352
113	7.620045879
114	7.612991604
115	7.605818307
116	7.599070072
117	7.59629278
118	7.588850388
119	7.577676276
120	7.564501372
121	7.556440816
122	7.548818426
123	7.540973936
124	7.532769583
125	7.526976553
126	7.520217406
127	7.517394356
128	7.512493166
129	7.505220579
130	7.494554935
131	7.483507818
132	7.477949393
133	7.471884381
134	7.467541194
135	7.460397393
136	7.45536442
137	7.448872948
138	7.443634191
139	7.43290835
140	7.426874523
141	7.420156407
142	7.412330788
143	7.402102195
144	7.393043745
145	7.388716191
146	7.378784422
147	7.374418114
148	7.366645117
149	7.356842151
150	7.349693659
151	7.344326775
152	7.338484751
153	7.333914337
154	7.328100887
155	7.324206542
156	7.318117498
157	7.314021199
158	7.304797618
159	7.30026185
160	7.294467617
161	7.288361429
162	7.281307621
163	7.276757455
164	7.270679719
165	7.265498916
166	7.255325145
167	7.248220421
168	7.244359016
169	7.238275274
170	7.234355077
171	7.227587912
172	7.222368804
173	7.214991758
174	7.209196677
175	7.205294117
176	7.192669396
177	7.188069034
178	7.183556801
179	7.180438856
180	7.175552383
181	7.171358243
182	7.169974061
183	7.163280452
184	7.159603879
185	7.15437407
186	7.148028116
187	7.14605322
188	7.141455522
189	7.136456501
190	7.130633505
191	7.125940272
192	7.121775754
193	7.115627596
194	7.111379425
195	7.105674266
196	7.101454573
197	7.097307538
198	7.089663421
199	7.086414506
200	7.083589873
201	7.079203452
202	7.07540098
203	7.072835144
204	7.062911594
205	7.059173738
206	7.054693516
207	7.05005865
208	7.04720912
209	7.045192793
210	7.039977714
211	7.036256854
212	7.031414872
213	7.02439827
214	7.019462512
215	7.016025214
216	7.010781261
217	7.006876107
218	7.004203831
219	7.000586379
220	6.997159833
221	6.991973688
222	6.990453032
223	6.987659549
224	6.986450832
225	6.984403707
226	6.980367752
227	6.976122294
228	6.965144095
229	6.960998493
230	6.956047889
231	6.951058294
232	6.947234712
233	6.93930317
234	6.932856265
235	6.925372394
236	6.923571537
237	6.918926458
238	6.914730036
239	6.911529197
240	6.907644055
241	6.904792415
242	6.90288065
243	6.901280413
244	6.900390544
245	6.897599244
246	6.894274191
247	6.891509157
248	6.890192501
249	6.888717471
250	6.885600017
251	6.883955221
252	6.880752231
253	6.878486011
254	6.874273032
255	6.871072449
256	6.86558565
257	6.861775336
258	6.851743308
259	6.847086626
260	6.841628807
261	6.837097485
262	6.833529595
263	6.827310385
264	6.823408295
265	6.820905921
266	6.81905625
267	6.815833113
268	6.812854435
269	6.810272342
270	6.804278283
271	6.802935077
272	6.799702063
273	6.796502976
274	6.793144994
275	6.788887775
276	6.786644966
277	6.783886318
278	6.780625938
279	6.776714672
280	6.773689741
281	6.771879849
282	6.768452413
283	6.75966762
284	6.757498306
285	6.754039377
286	6.74922874
287	6.74151596
288	6.738912628
289	6.736228112
290	6.732372298
291	6.72903383
292	6.725819461
293	6.723543474
294	6.717486355
295	6.712216636
296	6.708653272
297	6.70583784
298	6.693546502
299	6.690500471
300	6.687142248
301	6.685998099
302	6.682792281
303	6.677879002
304	6.673012446
305	6.669798589
306	6.665307747
307	6.664112317
308	6.657692677
309	6.653389163
310	6.651917679
311	6.649215554
312	6.646443892
313	6.643712873
314	6.640244482
315	6.632923511
316	6.629992984
317	6.62611598
318	6.623064654
319	6.614102066
320	6.611939579
321	6.605566315
322	6.602624067
323	6.59866874
324	6.597403086
325	6.594316059
326	6.593243173
327	6.58359424
328	6.581528952
329	6.580574965
330	6.571779482
331	6.569091373
332	6.562865822
333	6.560046785
334	6.554438155
335	6.553319443
336	6.550348088
337	6.545231324
338	6.543026213
339	6.54046887
340	6.53814258
341	6.533121084
342	6.526120752
343	6.518388389
344	6.516095897
345	6.508947644
346	6.504620245
347	6.500280562
348	6.497710987
349	6.495588922
350	6.492452879
351	6.490141668
352	6.48741605
353	6.484462332
354	6.481022056
355	6.474984706
356	6.473582576
357	6.469102892
358	6.467051798
359	6.464905673
360	6.458011309
361	6.453875319
362	6.445847723
363	6.442485866
364	6.44065746
365	6.438707504
366	6.436565003
367	6.429629448
368	6.425976108
369	6.422500221
370	6.42028218
371	6.419434209
372	6.412147813
373	6.405046988
374	6.398532677
375	6.393471373
376	6.388662569
377	6.384457986
378	6.380368021
379	6.378552872
380	6.376330723
381	6.372358198
382	6.366455077
383	6.365399189
384	6.363724703
385	6.360089937
386	6.35710408
387	6.353574074
388	6.350469426
389	6.348900323
390	6.345503323
391	6.344500985
392	6.341764074
393	6.332773424
394	6.32962616
395	6.32235174
396	6.317953225
397	6.313477642
398	6.311484853
399	6.308011987
400	6.304671135
401	6.298502057
402	6.293610652
403	6.291701016
404	6.289208521
405	6.287082985
406	6.284907264
407	6.282172634
408	6.274740998
409	6.269437084
410	6.268490915
411	6.26239997
412	6.259518038
413	6.257710284
414	6.255535113
415	6.251623987
416	6.244725358
417	6.241413624
418	6.239874119
419	6.234797611
420	6.23150449
421	6.228313558
422	6.227422453
423	6.22213091
424	6.217940707
425	6.216826682
426	6.212602403
427	6.210485226
428	6.20806891
429	6.205492681
430	6.202783311
431	6.200266093
432	6.198815002
433	6.196321783
434	6.193630609
435	6.191760841
436	6.188933247
437	6.186733741
438	6.185742888
439	6.184132972
440	6.182068075
441	6.179821605
442	6.17576782
443	6.170601751
444	6.168874779
445	6.165537176
446	6.162177114
447	6.161049503
448	6.159558167
449	6.157751576
450	6.156149943
451	6.153743134
452	6.150370379
453	6.14938868
454	6.148317511
455	6.143041324
456	6.140379821
457	6.13762234
458	6.136567382
459	6.134076878
460	6.129523216
461	6.126010905
462	6.121757857
463	6.119600717
464	6.117274496
465	6.11449661
466	6.109318643
467	6.106268913
468	6.104062187
469	6.10219624
470	6.099864678
471	6.097191285
472	6.095240028
473	6.094175575
474	6.093014358
475	6.092404222
476	6.091198503
477	6.089141823
478	6.087066002
479	6.0825322
480	6.080932407
481	6.079337588
482	6.076891758
483	6.074688661
484	6.070826441
485	6.065530003
486	6.062663072
487	6.060006788
488	6.0545771
489	6.051463812
490	6.049923716
491	6.047785312
492	6.046086905
493	6.043628122
494	6.041487175
495	6.039935243
496	6.037794983
497	6.036294648
498	6.034330743
499	6.032362291
500	6.030942406
501	6.029290018
502	6.028141719
503	6.02424216
504	6.023446091
505	6.020020139
506	6.019431551
507	6.017708303
508	6.016313127
509	6.014577176
510	6.009051623
511	6.00488746
512	6.002332593
