iter	Passed	Remaining
0	14	14889
1	27	13769
2	39	13118
3	52	13077
4	64	12886
5	77	12903
6	88	12587
7	98	12205
8	107	11875
9	118	11725
10	127	11482
11	137	11318
12	147	11167
13	155	10976
14	164	10812
15	174	10704
16	184	10651
17	194	10597
18	203	10497
19	214	10489
20	223	10404
21	231	10303
22	240	10231
23	249	10161
24	260	10140
25	269	10103
26	279	10056
27	289	10040
28	300	10069
29	310	10028
30	319	9998
31	328	9943
32	338	9930
33	348	9888
34	357	9843
35	365	9796
36	375	9776
37	386	9772
38	398	9816
39	408	9813
40	417	9770
41	427	9755
42	438	9748
43	448	9745
44	459	9742
45	469	9743
46	478	9705
47	489	9699
48	500	9704
49	509	9688
50	519	9668
51	530	9670
52	540	9657
53	551	9653
54	560	9635
55	571	9636
56	580	9609
57	592	9621
58	604	9645
59	613	9615
60	624	9615
61	634	9599
62	646	9620
63	656	9596
64	666	9585
65	676	9569
66	687	9573
67	697	9560
68	707	9546
69	718	9540
70	728	9535
71	739	9528
72	749	9521
73	759	9498
74	769	9496
75	779	9482
76	790	9481
77	801	9468
78	811	9459
79	822	9463
80	833	9456
81	843	9448
82	854	9438
83	863	9418
84	875	9420
85	885	9414
86	895	9395
87	905	9387
88	916	9385
89	928	9385
90	938	9371
91	947	9354
92	957	9338
93	968	9332
94	978	9320
95	989	9320
96	1000	9315
97	1011	9305
98	1021	9299
99	1031	9286
100	1043	9287
101	1053	9275
102	1063	9263
103	1073	9245
104	1082	9230
105	1093	9219
106	1104	9214
107	1114	9201
108	1124	9191
109	1134	9177
110	1144	9163
111	1154	9155
112	1164	9141
113	1174	9126
114	1184	9118
115	1194	9100
116	1203	9085
117	1214	9079
118	1227	9090
119	1238	9080
120	1248	9072
121	1259	9061
122	1269	9051
123	1279	9038
124	1290	9032
125	1300	9022
126	1311	9018
127	1322	9011
128	1332	8997
129	1342	8987
130	1355	8989
131	1366	8983
132	1375	8967
133	1386	8958
134	1395	8940
135	1404	8920
136	1414	8908
137	1425	8902
138	1436	8895
139	1445	8880
140	1455	8865
141	1465	8857
142	1476	8846
143	1486	8839
144	1499	8844
145	1510	8834
146	1521	8830
147	1531	8819
148	1544	8820
149	1554	8811
150	1565	8801
151	1575	8791
152	1585	8779
153	1596	8768
154	1606	8756
155	1616	8747
156	1628	8741
157	1638	8730
158	1648	8720
159	1659	8711
160	1669	8700
161	1680	8693
162	1690	8678
163	1700	8667
164	1711	8662
165	1722	8655
166	1733	8647
167	1746	8649
168	1756	8637
169	1766	8626
170	1777	8619
171	1787	8607
172	1798	8598
173	1807	8581
174	1818	8572
175	1828	8560
176	1841	8562
177	1852	8553
178	1861	8538
179	1870	8520
180	1881	8511
181	1891	8499
182	1899	8481
183	1911	8475
184	1921	8466
185	1931	8452
186	1942	8447
187	1953	8436
188	1964	8427
189	1974	8417
190	1985	8407
191	1995	8396
192	2004	8382
193	2016	8377
194	2027	8371
195	2039	8367
196	2051	8361
197	2062	8355
198	2074	8350
199	2085	8340
200	2094	8327
201	2105	8318
202	2114	8303
203	2124	8291
204	2135	8282
205	2146	8275
206	2157	8265
207	2168	8257
208	2177	8240
209	2186	8226
210	2196	8213
211	2205	8198
212	2216	8189
213	2245	8246
214	2274	8304
215	2303	8361
216	2326	8393
217	2341	8398
218	2352	8389
219	2363	8377
220	2372	8361
221	2382	8348
222	2390	8330
223	2399	8310
224	2406	8288
225	2415	8272
226	2424	8254
227	2432	8236
228	2442	8222
229	2451	8208
230	2461	8192
231	2469	8175
232	2479	8162
233	2488	8146
234	2499	8137
235	2508	8121
236	2517	8103
237	2527	8092
238	2537	8080
239	2547	8067
240	2557	8054
241	2567	8041
242	2576	8025
243	2585	8009
244	2595	7997
245	2605	7987
246	2616	7976
247	2625	7962
248	2635	7949
249	2643	7931
250	2653	7917
251	2662	7903
252	2672	7890
253	2682	7877
254	2692	7867
255	2703	7856
256	2713	7843
257	2722	7830
258	2734	7824
259	2747	7819
260	2759	7813
261	2769	7802
262	2780	7790
263	2791	7781
264	2800	7768
265	2810	7756
266	2820	7742
267	2830	7729
268	2839	7717
269	2850	7706
270	2862	7699
271	2871	7684
272	2883	7679
273	2894	7668
274	2904	7658
275	2915	7648
276	2926	7638
277	2935	7625
278	2946	7615
279	2958	7608
280	2969	7597
281	2979	7585
282	2989	7574
283	3000	7563
284	3009	7550
285	3019	7537
286	3030	7527
287	3039	7514
288	3050	7504
289	3060	7492
290	3070	7481
291	3081	7470
292	3092	7462
293	3103	7452
294	3114	7444
295	3125	7434
296	3136	7424
297	3146	7411
298	3157	7403
299	3169	7394
300	3180	7385
301	3189	7371
302	3200	7361
303	3209	7348
304	3220	7339
305	3230	7327
306	3241	7317
307	3250	7303
308	3261	7293
309	3273	7287
310	3283	7274
311	3293	7261
312	3302	7248
313	3314	7240
314	3325	7230
315	3334	7218
316	3344	7206
317	3356	7198
318	3366	7185
319	3378	7179
320	3388	7166
321	3400	7159
322	3409	7147
323	3419	7135
324	3429	7122
325	3440	7112
326	3449	7099
327	3461	7091
328	3471	7080
329	3481	7067
330	3493	7060
331	3502	7047
332	3515	7041
333	3525	7029
334	3557	7061
335	3581	7077
336	3608	7099
337	3634	7119
338	3652	7122
339	3665	7115
340	3675	7103
341	3686	7093
342	3695	7079
343	3706	7067
344	3715	7053
345	3723	7038
346	3731	7022
347	3741	7009
348	3749	6994
349	3759	6981
350	3767	6966
351	3775	6950
352	3785	6937
353	3794	6924
354	3803	6911
355	3814	6900
356	3823	6886
357	3834	6876
358	3844	6865
359	3853	6851
360	3863	6838
361	3874	6827
362	3885	6818
363	3894	6805
364	3904	6793
365	3913	6779
366	3923	6767
367	3935	6758
368	3946	6748
369	3955	6735
370	3966	6724
371	3975	6710
372	3988	6703
373	3998	6691
374	4009	6681
375	4019	6669
376	4028	6657
377	4040	6649
378	4051	6638
379	4062	6627
380	4071	6615
381	4084	6607
382	4096	6599
383	4105	6586
384	4116	6575
385	4127	6565
386	4139	6557
387	4150	6547
388	4161	6535
389	4172	6526
390	4182	6514
391	4193	6503
392	4204	6493
393	4215	6483
394	4225	6471
395	4237	6463
396	4247	6452
397	4259	6442
398	4270	6432
399	4281	6422
400	4292	6411
401	4302	6399
402	4314	6391
403	4325	6380
404	4335	6368
405	4346	6358
406	4356	6347
407	4367	6336
408	4378	6327
409	4388	6315
410	4398	6303
411	4410	6294
412	4420	6282
413	4430	6271
414	4440	6260
415	4452	6250
416	4462	6239
417	4472	6227
418	4483	6217
419	4495	6208
420	4505	6196
421	4518	6188
422	4527	6175
423	4538	6164
424	4551	6157
425	4560	6144
426	4571	6135
427	4581	6123
428	4591	6111
429	4601	6099
430	4611	6087
431	4621	6076
432	4631	6064
433	4640	6051
434	4650	6040
435	4659	6027
436	4671	6018
437	4682	6007
438	4693	5997
439	4702	5985
440	4714	5975
441	4725	5965
442	4736	5955
443	4748	5946
444	4758	5934
445	4767	5921
446	4779	5912
447	4789	5901
448	4800	5890
449	4810	5879
450	4820	5868
451	4831	5857
452	4842	5847
453	4852	5836
454	4876	5841
455	4905	5851
456	4933	5861
457	4955	5864
458	4969	5857
459	4981	5848
460	4994	5839
461	5004	5827
462	5013	5814
463	5022	5802
464	5031	5789
465	5042	5777
466	5050	5764
467	5059	5751
468	5067	5737
469	5078	5727
470	5088	5715
471	5098	5703
472	5107	5690
473	5116	5677
474	5126	5665
475	5134	5652
476	5143	5640
477	5153	5627
478	5163	5616
479	5174	5606
480	5185	5594
481	5194	5582
482	5206	5572
483	5217	5561
484	5226	5550
485	5237	5539
486	5247	5528
487	5257	5515
488	5268	5505
489	5280	5495
490	5290	5484
491	5300	5472
492	5310	5461
493	5321	5450
494	5331	5439
495	5341	5427
496	5351	5415
497	5361	5404
498	5372	5394
499	5383	5383
500	5395	5373
501	5405	5362
502	5414	5350
503	5424	5338
504	5434	5327
505	5446	5317
506	5455	5305
507	5465	5293
508	5475	5281
509	5485	5270
510	5497	5260
511	5509	5251
512	5520	5240
513	5532	5231
514	5543	5220
515	5554	5209
516	5564	5198
517	5574	5186
518	5584	5175
519	5595	5164
520	5604	5152
521	5617	5143
522	5626	5131
523	5638	5121
524	5648	5110
525	5660	5100
526	5670	5089
527	5683	5080
528	5694	5070
529	5706	5060
530	5716	5048
531	5727	5038
532	5737	5027
533	5750	5018
534	5760	5006
535	5771	4995
536	5781	4984
537	5793	4974
538	5803	4963
539	5814	4952
540	5824	4941
541	5834	4929
542	5846	4920
543	5856	4909
544	5867	4898
545	5878	4887
546	5888	4876
547	5899	4865
548	5909	4854
549	5920	4844
550	5931	4833
551	5942	4823
552	5953	4812
553	5963	4800
554	5973	4789
555	5984	4779
556	5995	4768
557	6005	4757
558	6017	4747
559	6029	4737
560	6038	4724
561	6047	4713
562	6057	4701
563	6068	4691
564	6080	4681
565	6091	4670
566	6102	4659
567	6112	4649
568	6123	4638
569	6136	4629
570	6146	4617
571	6155	4605
572	6166	4594
573	6190	4594
574	6220	4597
575	6246	4597
576	6272	4598
577	6288	4591
578	6299	4580
579	6311	4570
580	6322	4559
581	6332	4547
582	6341	4535
583	6351	4524
584	6361	4512
585	6370	4500
586	6378	4487
587	6388	4476
588	6396	4463
589	6405	4451
590	6415	4439
591	6426	4428
592	6434	4416
593	6444	4404
594	6454	4393
595	6465	4382
596	6474	4370
597	6483	4358
598	6493	4347
599	6504	4336
600	6515	4325
601	6525	4314
602	6535	4302
603	6545	4291
604	6554	4279
605	6565	4268
606	6575	4256
607	6586	4246
608	6596	4234
609	6605	4223
610	6617	4212
611	6628	4202
612	6638	4191
613	6648	4179
614	6658	4168
615	6669	4157
616	6681	4147
617	6692	4136
618	6702	4125
619	6713	4114
620	6724	4103
621	6733	4092
622	6744	4081
623	6754	4070
624	6766	4060
625	6776	4048
626	6787	4038
627	6797	4026
628	6807	4015
629	6819	4005
630	6831	3994
631	6841	3983
632	6850	3971
633	6860	3960
634	6870	3949
635	6880	3937
636	6891	3927
637	6902	3916
638	6911	3904
639	6921	3893
640	6933	3883
641	6944	3872
642	6955	3861
643	6966	3850
644	6977	3840
645	6988	3829
646	6998	3818
647	7009	3807
648	7020	3796
649	7031	3786
650	7042	3775
651	7051	3763
